Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
Polar Data Catalogue,http://www.polardata.ca/,Canadian Cryospheric Information Network,"Cryosphere, Social science literature, Climate and civilization, Ice, Sea ice","The Polar Data Catalogue is an online database of metadata that describes, indexes and provides access to diverse data sets generated by polar researchers. 
These records cover a
wide range of disciplines from natural sciences and policy, to health and social sciences. ",Open,2007,Canada,Open: https://www.polardata.ca/pdc/public/data-policy.pdf,Open,Regional,
Polar Data Center (PDC) Science Database,http://scidbase.nipr.ac.jp/,National Institute of Polar Research (NIPR),"Geology, Atmosphere, Upper, Meteorology, Antarctic Treaty system, Biology, Glaciology, Ice sheets, Oceanography, Remote sensing","The Polar Data Center (PDC) manages the Science Database among other repositories for Japanese polar research.  The Science Database is the destination repository for all Japanese Antarctic Research Expedition (JARE) data as well as the Japanese contribution to the International Polar Year (IPY) 2007-2008. Metadata are in English and Japanese, and metadata records are shared with the Global Change Master Directory.",Open,,Japan,Open,Closed,Disciplinary/Governmental,
Polar Data Centre,http://pdc.nerc.ac.uk/,"British Antacrtic Survey, Polar Data Centre, Natural Environment Research Council","Geography, Discoveries in geography","The PDC coordinates the management of data about the polar regions collected by UK-funded scientists. Data includes information collected about plants, invertebrate, terrestrial geology, and marine geology.",Open,2009,United Kingdom,Open,Credentialed individuals in the Antarctic and Southern Ocean with UK funding; http://www.antarctica.ac.uk//bas_research/data/submission.php,Disciplinary,
Policy Agendas Project,http://www.policyagendas.org/,University of Texas-Austin,"Political science, Policy sciences","This repository contains datasets relevant to studying public policy in the United States. Datasets include cases heard before the Supreme Court, Congressional hearings and roll call votes, executive orders, etc. Each event has been coded to indicate the policy topic(s) to which it relates; the coding scheme can be found at http://www.policyagendas.org/page/topic-codebook.",Open,,United States,,Closed,Disciplinary,
Potsdam Carte du Ciel Plates,http://dc.zah.uni-heidelberg.de/potsdam/q/raw/info,"German Research Foundation, Leibniz Institute for Astrophysics Potsdam, German Astrophysical Virtual Observatory, GAVO",,"Publication of scans of photographic plates from the so-called ""Potsdam zone"" of the Carte du Ciel project (32 deg to 39 deg). A total of 977 plates of 2 square degree sky regions was observed and recorded between 1913 to 1924. Since Potsdam Observatory ended participation in the Carte du Ciel project, these observations were so far not analysed or published. Plates were scanned in by a flat bed scanner in 2007-2008. Limitations in astrometric precision as well are to be expected, and specific observational restrains apply, such as multiple exposures on certain plates (see literature)",open,8/2/2009,Germany,restricted; CC - http://creativecommons.org/licenses/; other - http://www.gnu.org/home.en.html,restricted: other; Publishing your data in the VO - http://www.g-vo.org/pmwiki/About/GettingStarted,other,
Precipitation Measurement Missions Data Access,http://pmm.nasa.gov/data-access,National Aeronautics and Space Administration (NASA),"Climatology, Earth sciences, Precipitation (Meteorology), Rain and rainfall","The Tropical Rainfall Measuring Mission (TRMM) monitors and studies tropical rainfall. Data products are currently available from 1998 to the present. Global Precipitation Measurement data products will be provided in 2013. Data sets are available at a variety of processing levels, ranging from raw instrument data to precipitation model outputs.","Open, except for Level 4 products.",1998,United States,Open,"Closed (Responsible organization only, no outside submissions)",Governmental/Disciplinary,
Predicted Crystallography Open Database,http://www.crystallography.net/pcod/,Crystallography Open Database Advisory Board,"Fluorides, Zeolites, Sulfates, Phosphates, Silicates, Crystallography","The Predicted Crystallography Open Database (PCOD) contains inorganic compounds (silicates, phosphates, sulfates of Al, Ti, V, Ga, Nb, Zr, zeolites, fluorides, etc) predicted by various crystallography programs. These crystal structures are predicted and have not yet been observed. Predicted Crystalline structures can be viewed on the database as well as downloaded for later use. PCOD also provides access to the Predicted Powder Diffraction Database which contains powder diffraction patterns calculated from crystal structures within PCOD.",Open,2003,United States,Open,Open,Disciplinary,
PreK-3rd Data Resource Center,http://www.icpsr.umich.edu/icpsrweb/PREK3RD/,"University of Michigan, Inter-University Consortium for Political and Social Research (ICPSR) for the Foundation for Child Development","Early childhood education, Child development, Preschool children--Education, Teaching, Education, Kindergarten, Children",The PreK-3rd Data Resource Center is an online resource center designed to expand the knowledge base and provide tools for the access and handling of Prekindergarten through Third Grade longitudinal data.,Open,,United States,Open,Closed,Disciplinary/ Institutional,
Primate Life Histories Database,https://plhdb.org/,NESCent; http://www.nescent.org/,"Primates, Anthropology",This database contains individual-based life history data that have been collected from wild primate populations by nine working group participants over a minimum of 19 years.,Closed,,,Restricted,Closed,Disciplinary,
Prognostics Data Repository,http://ti.arc.nasa.gov/tech/dash/pcoe/prognostic-data-repository/,Prognostics Center of Excellence (PCoE),"Aeronautics, Space, Exploration, Aerial, Avionics, Algorithms, Electrical engineering, Electronics, Aircraft accidents","NASA's Prognostics Center of Excellence hosts the Prognostics Data Repository to provide data used in the development of prognostic algorithms, and time series of nominal to failed states.  Data are donated from universities, agencies, or companies on an ongoing process.",Open,2007,United States,Open,Credentialed individuals in prognostics,Governmental/Institutional/Disciplinary,
Project on Human Development in Chicago Neighborhoods,http://www.icpsr.umich.edu/icpsrweb/PHDCN/,"Inter-university Consortium for Political and Social Research (ICPSR) at the Institute for Social Research, the University of Michigan","Child development, Neighborhood, Schools, Families","The Project on Human Development in Chicago Neighborhoods (PHDCN) is an interdisciplinary study of how families, schools, and neighborhoods affect child and adolescent development. Data collection components available include community surveys, systematic social observations, infant assessment unit, and longitudinal cohort studies.",Open subject to approval by the National Archive of Criminal Justice Data (NACJD).,,United States,Open. How to cite data: http://www.icpsr.umich.edu/icpsrweb/PHDCN/citation.jsp,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
Protected Planet,http://protectedplanet.net/,United Nations Environment Programme - World Conservation Monitoring Centre (UNEP-WCMC),"Biodiversity, Geographic information systems, World Heritage areas, Wilderness areas, National parks and reserves, Protected areas","Protectedplanet.net combines crowd sourcing and authoritative sources to enrich and provide data for protected areas around the world.  Data are provided in partnership with the World Database on Protected Areas (WDPA).  The data include the location, designation type, status year, and size of the protected areas, as well as species information.",Open,1981,United Kingdom,Open; http://protectedplanet.net/termsandconditions,Membership in a protected areas organization,Disciplinary,
Protein Circular Dichroism Data Bank (PCDDB),http://pcddb.cryst.bbk.ac.uk/home.php,"Institute of Structural and Molecular Biology (ISMB), University of London","Circular dichroism, Spectrograph, Spectrum analysis, Bioinformatics, Proteomics, Biophysics, X-ray crystallography","The Protein Circular Dichroism Data Bank (PCDDB) provides and accepts a circular dichroism spectra data. The PCDDB and it's parent organization, the Institute of Structural and Molecular Biology (ISMB), investigate molecular structure using techniques such as biomolecular nuclear magnetic resonance, X-ray crystallography and computational structure prediction, as methods for protein production and biological characterization.",Open,2009,United Kingdom,Open - http://pcddb.cryst.bbk.ac.uk/info.php,Credentialed individuals in circular dichroism,Disciplinary,
Protein Data Bank (PDB),http://www.rcsb.org,"Research Collaboratory for Structural Bioinformatics-Rutgers [New Brunswick, NJ], University of California, San Diego","X-ray crystallography, Ribosomes--Structure, Proteins--Structure, Proteins, Oncogenes, Nucleic acids, Molecular structure, Molecular biology, Cryomicroscopy","The Protein Data Bank (PDB) archive is the single worldwide repository of information about the 3D structures of large biological molecules, including proteins and nucleic acids. These are the molecules of life that are found in all organisms including bacteria, yeast, plants, flies, other animals, and humans. Understanding the shape of a molecule helps to understand how it works. This knowledge can be used to help deduce a structure's role in human health and disease, and in drug development. The structures in the archive range from tiny proteins and bits of DNA to complex molecular machines like the ribosome. RCSB PDB supports a website where visitors can perform simple and complex queries on the data, analyze, and visualize the results. The PDB was established in 1971 at Brookhaven National Laboratory and originally contained 7 structures. In 2003, the wwPDB was formed to maintain a single PDB archive of macromolecular structural data that is freely and publicly available to the global community. It consists of organizations that act as deposition, data processing and distribution centers for PDB data.",open,1971,United States,open,Accepting deposits of validated data- http://deposit.rcsb.org/,disciplinary,
Protein Data Bank Europe,http://www.ebi.ac.uk/pdbe/,"European Bioinformatics Institute [Cambridge, UK]","Protein-protein interactions, Proteins--Research","PDBe is a European resource that works to collect, maintain, and provide access to the global repository of macromolecular structure data.",Open,,United Kingdom,Open,,Disciplinary,
Proteome Commons,https://www.proteomecommons.org/,University of Michigan,"Biology, Proteomics, Proteins, Genomes","The Proteome Commons is a public resource for sharing general proteomics information, data (Tranche repository), tools, and news. Joining or creating a group/project provides tools and standards for collaboration, project management, data annotation, permissions, permanent storage, and publication.",Open; access for research and educational use,2009,United States,Open; https://www.proteomecommons.org/tranche/downloads.jsp,Membership in institution of higher learning - http://code.google.com/p/proteomecommons-tranche/wiki/FAQ,Disciplinary,
ProteomeXchange (PX),http://www.proteomexchange.org/,"EMBL-EBI, European Molecular Biology Laboratory, The European Bioinformatics Institute , ProteomeXchange Consortium, European Commission, Community Research and Development Information Service, Seventh Framework Programme, CORDIS FP7",,"The ProteomeXchange consortium has been set up to provide a single point of submission of MS proteomics data to the main existing proteomics repositories, and to encourage the data exchange between them for optimal data dissemination.
Current members accepting submissions are:
The PRIDE PRoteomics IDEntifications database at the European Bioinformatics Institute focusing mainly on shotgun mass spectrometry proteomics data
PeptideAtlas/PASSEL focusing on SRM/MRM datasets.",open,1/1/2011,,open; other - http://www.apache.org/licenses/LICENSE-2.0; Copyrights - http://creativecommons.org/licenses/by/2.5/,restricted: registration,disciplinary/institutional,
PRoteomics IDEntifications database,http://www.ebi.ac.uk/pride/,"European Bioinformatics Institute [Cambridge, UK]","Protein-protein interactions, Proteins--Research, Amino acids, Amino acid sequence","PRIDE aims to provide a public repository for protein, peptide identifications, the evidence to support those identifications, and details about post-translational modifications. PRIDE is centralized and standards compliant.",Open,,United Kingdom,Open,Accepting data for deposit,Disciplinary,
PseudoBase,http://www.ekevanbatenburg.nl/PKBASE/PKB.HTML,Leiden University,"RNA, Molecular biology, Nucleotide sequence, Phylogeny--Molecular aspects, Bioinformatics","PseudoBase is a data collection of RNA pseudoknots discoverable by class or property. PseudoBase pseudoknot files are available for download, and users can submit their own pseudoknots.",Open,1997,Netherlands,Open,Credentialed individuals in molecular biology,Disciplinary,
PSLC DataShop,https://pslcdatashop.web.cmu.edu/index.jsp,Pittsburgh Science of Learning Center,"Learning, Education, Fluency (Language learning), Teaching",PSLC DataShop houses datasets in the areas of learning science and educational software. The site also provides online tools for analyzing and reporting the data.,Closed - users must create a free account to access public datasets. Users must get permission from a PI to access private datasets.,,United States,"Restrictions on redistribution and modification - http://pslcdatashop.org/about/faq.html#usage, https://pslcdatashop.web.cmu.edu/Terms",Accepting data for deposit. https://pslcdatashop.web.cmu.edu/Terms,Institutional/Disciplinary,
PsychData,http://www.psychdata.de/,"Leibniz Institute for Psychology Information, University of Trier",Psychology,"PsychData (Center for Research Data in Psychology) is a research infrastructure that makes data management and long term data preservation in Psychology possible. The research data are converted to nonproprietary open formats. The metadata (study description, codebook) are based on established standards like Dublin Core and the Data Documentation Initiative specification. Coverage is all areas of psychology, in particular datasets from clinical, developmental, educational, gero-, and work and organizational psychology stemming from longitudinal studies, major surveys, and test development. Repository is primarily in German.",Closed‐must be a member,2002,Germany,Closed,Open to individuals in Psychology,Institutional,
PUB data (The Publication Server at Bielefeld University) (Data Publications),http://pub.uni-bielefeld.de/data?lang=en,,Life sciences,"PUB represents the central publication data service of Bielefeld University. It serves Bielefeld academics to easily create and administer their personal publication lists and make them available on the web. The University Bielefeld encourages scientists to publish their research data on research data archives. The publications are intended to take account into personal and business related interests and carried out unter mandatory license conditions.The Bielefeld University supports faculties and scientific institutions to link their offerings with global data archives.The university-wide service "" PUB - Publications at Bielefeld University "" allows the primary publication of research data. ",open,2013,Germany,closed; ODC - http://data.uni-bielefeld.de/de/pub-research-data-demo; other - PDDC; other - OBbl,closed; Deposit Policy - http://pub.uni-bielefeld.de/#tab_policy,institutional,
PubChem,http://pubchem.ncbi.nlm.nih.gov/,"National Center for Biotechnology Information (NCBI), United States National Library of Medicine (NLM), National Institutes of Health (NIH)  [Bethesda, MD]","Biotechnology, Biological assay, Molecular biology, Molecular structure, Chemical structure, Nucleotide sequence, Macromolecules, Gene expression","PubChem provides information on the biological activities of small molecular compounds and is comprised of three main databases; PubChem BioAssay, PubChem Compound, &PubChem Essence. PubChem also provides a fast chemical structure similarity search tool. More information about using each component database may be found using the links in the homepage. Databases of molecular data on the National Center for Biotechnology Information (NCBI) Web site include such examples as nucleotide sequences (GenBank), protein sequences, macromolecular structures, molecular variation, gene expression, and mapping data. They are designed to provide and encourage access within the scientific community to sources of current and comprehensive information.",open,2004,United States,open-http://pubchem.ncbi.nlm.nih.gov/citations.html,Accepting data for deposit- http://pubchem.ncbi.nlm.nih.gov/deposit/deposit.cgi,,
Public Geodata Repository,http://www.osgeo.org/geodata/repository,Open Source Geospatial Foundation,"Geography, Earth sciences, Physical geography","OSGeo's mission is to support the collaborative development of open source geospatial software, in part by providing resources for projects and promoting freely available geodata. The Public Geodata Repository is a distributed repository and registry of data sources free to access, reuse, and re-distribute.",Open,,Canada,Open,,Disciplinary,
Publication Server at Bielefeld University (PUB),http://pub.uni-bielefeld.de,"Bielefeld University Library, Scientific Data Sharing Platform of Advanced Manufacturing and Automation office",Data archives,"PUB represents the central service for publications and research data of Bielefeld University. It serves Bielefeld academics to easily create and administer their personal publication lists and make them available on the web. The Bielefeld University supports faculties and scientific institutions to link their offerings with global data archives. The university-wide service ""PUB - Publications at Bielefeld University"" allows the primary publication of research data.",Open,2013,Germany,Open Data Commons; Open Database License,researchers affiliated with Bielefeld University,Institutional,
Purdue University Research Repository,http://purr.purdue.edu,Purdue University,Data archives,The Purdue University Research Repository (PURR) provides a virtual research environment and data publication and archiving platform for its campuses. Also supports the publication and online execution of software tools with DataCite DOIs. Multidisciplinary.,Open,2011,United States,Open (Creative Commons suite of licenses; default is CC0),"Purdue faculty, staff, graduate students and their collaborators",Institutional,
QTL Archive,http://www.qtlarchive.org/,"Churchill Group, Jackson Laboratory","Genetics, Rodents, Inbreeding, Genetic markers, Quantitative genetics, Bioinformatics","QTL (quantitative trait loci) Archive  provides data, analysis scripts, and results on rodent inbreeding.  QTL Archive encourages use of data for developing new analysis methods, software and meta-analysis of quantitative traits.",Open,2008,United States,Open; http://qtlarchive.org/db/q?pg=about,Credentialed individuals in mammalian genetics,Disciplinary,
Qualitative Data Repository,https://qdr.syr.edu/,"QDR, Center for Qualitative and Multi-Method Inquiry, Syracuse University1567","Political science, Social sciences","QDR selects, ingests, curates, archives, manages, durably preserves, and provides access to digital data used in qualitative and multi-method social inquiry.  The repository develops and publicizes common standards and methodologically informed practices for these activities, as well as for the reusing and citing of qualitative data.",Registered users,2014,United States,Open,Open,Disciplinary,
QUT Research Data Finder (Queensland University of Technology - Research Data Finder),https://researchdatafinder.qut.edu.au/,"Queensland University of Technology, QUT, Australian National Data Service, ANDS, National Library of Australia, NLA","Life sciences, Humanities","Research Data Finder is QUT�s discovery service for research data created or collected by QUT researchers. Designed to promote the visibility of QUT research datasets, Research Data Finder provides descriptions about shareable, reusable datasets available via open or mediated access.",open,2012,Australia,restricted; Copyrights - http://www.qut.edu.au/additional/copyright; Copyrights - http://www.tils.qut.edu.au/copyrightguide/,restricted: registration; Guide to depositing items  - http://www.library.qut.edu.au/services/quteprints/#depositguide,institutional,
RAND Survey Meta Data Repository,https://mmicdata.rand.org/megametadata/,The Rand Corporation,"Metadata, Demography, Health, Income, Social security, Pensions, Health insurance, Retirement, Work","The Survey Meta Data Repository provides Health and Retirement Study metadata of family surveys. Survey Meta Data Repository primarily provides access to survey metadata so researchers can compare survey formats, types and identically defined variables.  Additional resources include tools for cross-country analysis, general statistics by country and year, survey question library, and tools for comparing questions across the surveys. Datasets are in Stata format; users must register and request datasets.",Closed; registration and request data,NA,United States,Open - https://mmicdata.rand.org/megametadata/?section=disclaimer,Credentialed individuals in health and retirement studies,Disciplinary,
Rat Genome Database (RGD),http://rgd.mcw.edu,"Medical College of Wisconsin, Bioinformatics Research Center, MCW, National Institutes of Health, National Heart Lung and Blood Institute, NHLBI, NIH",Zoology,"The Rat Genome Database is a collaborative effort between leading research institutions involved in rat genetic and genomic research. Its goal, as stated in RFA: HL-99-013 is the establishment of a Rat Genome Database, to collect, consolidate, and integrate data generated from ongoing rat genetic and genomic research efforts and make these data widely available to the scientific community. A secondary, but critical goal is to provide curation of mapped positions for quantitative trait loci, known mutations and other phenotypic data.",open; other - http://pga.mcw.edu/pga2/?module=content&func=disclaimer,2000,United States,open; other - http://pga.mcw.edu/pga2/?module=content&func=disclaimer,restricted: registration,disciplinary,
RAVE database (RAdical Velocity Experiment Database),http://www.rave-survey.aip.de/rave/pages/database/index.jsp,"National Science Foundation, NSF, French National Research Agency, German Research Foundation, Leibniz Institute for Astrophysics Potsdam, University of Heidelberg, Astronomisches Rechen-Institut , Australian Astronomical Observatory, AAO, Australian National University, ANU, Australian Research Council, ARC, European Research Council, ERC, John Hopkins University, JHU",,"RAVE (RAdial Velocity Experiment) is a multi-fiber spectroscopic astronomical survey of stars in the Milky Way using the 1.2-m UK Schmidt Telescope of the Anglo-Australian Observatory (AAO). The RAVE collaboration consists of researchers from over 20 institutions around the world and is coordinated by the Leibniz-Institut f�r Astrophysik Potsdam.As a southern hemisphere survey covering 20,000 square degrees of the sky, RAVE's primary aim is to derive the radial velocity of stars from the observed spectra. Additional information is also derived such as effective temperature, surface gravity, metallicity, photometric parallax and elemental abundance data for the stars. The survey represents a giant leap forward in our understanding of our own Milky Way galaxy; with RAVE's vast stellar kinematic database the structure, formation and evolution of our Galaxy can be studied.",open,2003,,open; Copyrights - http://www.aip.de/impressum.html,restricted: other,disciplinary,
RCSB Protein Data Bank (RCSB PDB),http://www.pdb.org/,"National Science Foundation, NSF, U.S. Department of Energy, Office of Science, DOE, Rutgers, The State University of New Jersey, UC San Diego, UCSD, Research Collaboratory for Structural Bioinformatics, RCSB, National Institutes of Health, National Institute of General Medical Sciences, NIH, NIGMS, National Institutes of Health, National Library of Medicine, NIH, NLM, National Institutes of Health, National Cancer Institute, NIH, NCI, National Institutes of Health, National Institute of Neurological Disorders and Stroke, NIH, NINDS, National Institutes of Health, National Institute of Diabetes and Digestive and Kidney Diseases, NIH, NIDDK",,"The Protein Data Bank (PDB) archive is the single worldwide repository of information about the 3D structures of large biological molecules, including proteins and nucleic acids. These are the molecules of life that are found in all organisms including bacteria, yeast, plants, flies, other animals, and humans. Understanding the shape of a molecule helps to understand how it works. This knowledge can be used to help deduce a structure's role in human health and disease, and in drug development. The structures in the archive range from tiny proteins and bits of DNA to complex molecular machines like the ribosome. ",open,1971,United States,open; other - http://www.pdb.org/pdb/static.do?p=general_information/about_pdb/policies_references.html,restricted: other,disciplinary,
Reactome,http://www.reactome.org/,"Cold Spring Harbor Laboratory, Ontario Institute for Cancer Research, European Bioinformatics Institute [Cambridge, UK]",Bioinformatics,"Reactome is a manually curated, peer-reviewed pathway database, annotated by expert biologists and cross-referenced to bioinformatics databases. Its aim is to share information in the visual representations of biological pathways in a computationally accessible format. It is open-source and open access.",Open,,United Kingdom,Open,,Disciplinary,
Reading Experience Database (RED),http://www.open.ac.uk/Arts/reading/,"The Open University, OU, RED Project Team, Arts and Humanities Research Council, AHRC","Linguistics, History, Humanities","RED is a collection of databases whose aim is to accumulate as much evidence as possible about reading experiences across the world. The search and browse facilities enable you to chart the reading tastes of individual readers as they travel to other countries, and consider how different environments may have affected their reading. You can track the readership of books issued in new editions for new audiences in different countries. Search results are displayed on an interactive map and linked to relevant records in national REDs.
Each national RED offers a range of services to users, including profiles of readers, authors, and titles; tutorials on accessing and analysing evidence; and examples of how scholars have used the database to uncover patterns of reading. ",open; Copyrights - http://www.open.ac.uk/about/main/admin-and-governance/policies-and-statements/copyright-ou-websites,2011-02,United Kingdom,open; Copyrights - http://www.open.ac.uk/Arts/reading/copyright_guide.php,restricted: other,disciplinary,
Reciprocal Net,http://www.reciprocalnet.org/,"Indiana University Molecular Structure Center-Indiana University [Bloomington, IN]","Molecular structure, Crystallography--Computer programs, Crystallography--Data processing, Chemical processes, Crystallographers","The Reciprocal Net is a distributed database used by research crystallographers to store information about molecular structures; much of the data is available to the general public. The Reciprocal Net project is still under development. Currently, there are 18 participating crystallography laboratories online. The project is funded by the National Science Foundation (NSF) and part of the National Science Digital Library. The contents of this collection will come principally from structures contributed by participating crystallography laboratories, thus providing a means for teachers, students, and the general public to connect better with current chemistry research. The Reciprocal Net's emphasis is on obtaining structures of general interest and usefulness to those several classes of digital library users.",open,1995,United States,open,crystallographic service facilities are encouraged to join the Reciprocal Net-http://www.reciprocalnet.org/networkinfo/howtojoin.html,disciplinary,
Renewable Resource Data Center,http://www.nrel.gov/rredc/,National Renewable Energy Laboratory,"Biomass, Geothermal resources, Solar energy","Maintained by the NREL's Electricity, Resources, and Building Systems Integration Center, the RReDC provides access to an extensive collection of renewable energy resource data, maps, and tools, as well as biomass, geothermal, solar, and wind resource data for a variety of U.S. locations.",Open,,United States,Open,,Disciplinary,
Research Compendia,http://researchcompendia.org,Columbia University,"All (The English word), Economics, Physics, Statistics, Mathematics, Neurosciences, Biology, Computer science, Computer algorithms, Chemistry","Research Compendia allows researchers to connect their data, code, metadata, and documentation to they published (and working) papers. To allow readers to fully assess, reproduce or build upon the research.",Open,2013,United States,Open,Open,General,
Research Data Archive at NCAR,http://rda.ucar.edu/,"Data Support Section, CISL/NCAR","Atmosphere, Climatology, Ocean","The CISL Research Data Archive (RDA) contains a large collection of meteorological and oceanographic observations, operational and reanalysis model outputs, and remote sensing datasets to support atmospheric and geosciences research, with a focus on weather and climate. ",Registration required: https://rda.ucar.edu/index.html?hash=data_user&action=register,,United States,Open,,Governmental,
Research Data Australia,http://researchdata.ands.org.au/,Australian National Data Service,"Engineering, Data archives, Earth sciences, Research, Science, Mathematics, Biology, Philosophy, History","Research Data Australia (RDA) is provided by the Australian National Data Service (ANDS). RDA provides a searchable commons for data, projects, researchers and institutions. With over 40,000 data collections contributed by research institutions and data producing agencies, RDA and ANDS make Australia's diversity of data findable and reusable.",Open,2008,Australia,Open,Accepting data for deposit (Private submissions welcome),Governmental/Institutional,
Research Data Center Elections,http://www.gesis.org/en/institute/competence-centers/rdc-elections/,GESIS � Leibniz-Institute for the Social Sciences,Social sciences,"The Research Data Center Elections is part of GESIS and provides access to a number of national survey datasets. The RDC performs the main tasks: Data collection, Consultation and creation of value-added services like data handbooks, Knowledge transfer, e.g. organisation of workshops and Scientific research.",open; Copyrights - http://www.gesis.org/en/institute/imprint/,1/5/2004,Germany,restricted; Copyrights - http://www.gesis.org/en/institute/imprint/,restricted: registration,disciplinary,
Research Data Center International Survey Programmes (RDC International Survey Programmes),http://www.gesis.org/en/institute/competence-centers/rdc-international-survey-programmes/,"Federal Ministry of Education and Research, GESIS � Leibniz-Institute for the Social Sciences",Social sciences,"The Research Data Center (RDC) �International Survey Programmes� provides researchers with data, services, and consultation on a number of important international study series which are under intensive curation by GESIS. They all cover numerous countries and, quite often, substantial time spans. The RDC provides optimal data preparation and access to a wide scope of data and topics for comparative analysis.  ",open; Copyrights - http://www.gesis.org/en/institute/imprint/,1/5/2004,Germany,closed; Copyrights - http://www.gesis.org/en/institute/imprint/,restricted: registration,disciplinary,
Research Data Centre (Forschungsdatenzentrum),https://www.iqb.hu-berlin.de/fdz,Institute for Educational Quality Improvement (Institut zur Qualit�tsentwicklung im Bildungswesen),"Educational psychology, Education","The Research Data Centre (Forschungsdatenzentrum, FDZ) at the Institute for Educational Quality Improvement (Institut zur Qualitätsentwicklung im Bildungswesen, IQB) archives and documents data sets resulting from national and international assessment studies (such as DESI, PIRLS, PISA). Moreover, the FDZ makes these data sets available for re- and secondary analysis. Members of the scientific community can apply for access to the data sets archived at the FDZ.",data access upon application via https://www.iqb.hu-berlin.de/fdz/application/antrag,2007,Germany,"restricted, https://www.iqb.hu-berlin.de/fdz/faq",Accepting data for deposit,governmental / institutional / disciplinary,
Research Data Centre Education,http://www.fachportal-paedagogik.de/forschungsdaten_bildung/,"German Institute for International Educational Research, German Research Association",,,open; other - http://daqs.fachportal-paedagogik.de/service/terms/,2005,Germany,restricted; other - http://daqs.fachportal-paedagogik.de/service/terms/#urheberrecht; other - http://www.fachportal-paedagogik.de/wir_ueber_uns_e.html,closed,disciplinary,
Research Data Centre of the DZA,http://www.dza.de/en/fdz,"German Centre of Gerontology, German Data Forum, Federal Ministry for Family Affairs, Senior Citizens, Women and Youth, Arbeitsgemeinschaft der Ressortforschungseinrichtungen",Social sciences,"The FDZ-DZA (Forschungsdatenzentrum DZA) is a facility of the German Centre of Gerontology (Deutsches Zentrum f�r Altersfragen, DZA) and has received accreditation as research data center DZA by the German Data Forum (RatSWD). Its main task is to make data of the German Ageing Survey DEAS and the German Survey on Volunteering (FWS) accessible to researchers by providing user-friendly Scientific Use Files (SUF), documentation of the contents and instruments as well support for scholars using the data.",open,,Germany,restricted; other - https://www.dza.de/informationsdienste/informationsdienst-altersfragen/impressum.html,closed,institutional/disciplinary,
Research Data Centre Ruhr at the RWI,http://en.rwi-essen.de/forschung-und-beratung/fdz-ruhr/,Federal Ministry of Education and Research,"Economics, Social sciences","As a center for scientific research and evidence-based policy advice, RWI requires an effective econometric infrastructure. The increased use of individual and firm data also requires effective regulations and tools for data protection. The research division�s objectives are to advise RWI researchers in methodical questions, to develop new econometric approaches to solve concrete research questions, and to ensure data protection.",open,10/1/2010,Germany,restricted; Copyrights - http://en.rwi-essen.de/impressum/,closed,disciplinary,
"Research Data Centres
of the Federal Statistical Office and the statistical offices of the L�nder (FDZ Bund)",http://www.forschungsdatenzentrum.de/en/,"Federal Ministry of Education and Research, Research Data Centre of the Statistical Offices of the L�nder, Executive Secretariat �, Forschungsdatenzentren der Statistischen �mter des Bundes und der L�nder, Gesch�ftsstelle","Economics, Social sciences",The basic goal of the research data centres of the statistical offices of the Federation and the L�nder is to improve the accessibility and usability of microdata of official statistics by setting up various ways of using the data.,open,9/1/2001,Germany,restricted; Copyrights - http://www.forschungsdatenzentrum.de/en/impressum.asp#p_copyright,closed,disciplinary/institutional,
Reservoirs of Antibiotic Resistance Network (ROAR),http://www.roarproject.org/ROAR/html/index.htm,Alliance for the Prudent Use of Antibiotics (APUA),"Antibiotics, Bacteria, Genes, Immune system, Pathogenic microorganisms, Phenotype, Genotype-environment interaction, Medicine, Public health","The ROAR Isolate Database is a searchable collection of commensal and complimentary pathogen isolate datasets. ROAR allows invetigators to identify datasets of interest, submit datasets, or download datasets.  ROAR datasets include data depositors' contact information and links to their articles in ROAR Literature Database.",Closed-Access by registered users only,2006,United States,Closed - Membership in ROAR Scientific Network required - http://www.roarproject.org/ROAR/html/initiatives.htm,Credentialed researchers investigating antibiotic resistance in commensal bacteria - http://www.roarproject.org/ROAR/account/submit_data.htm,Institutional/Disciplinary,
Resource Center for Minority Data (RCMD),http://www.icpsr.umich.edu/icpsrweb/RCMD/,"Inter-university Consortium for Political and Social Research, University of Michigan,","Race, Ethnicity, Crime, Discrimination, Education, Work, Health, History, Housing, Minorities, African Americans, Hispanic Americans, Asian Americans, Indians of North America, Politics and culture, Poverty, Income, Public opinion","The RCMD aims to provide educators, students, and researchers with the data related to racial and ethnic minority populations in the U.S. The archive provides access to data that allows for tracking changes related to such minority populations. Included projects also also cover minority communities and relationships.",Closed,,United States,Closed,Open; see http://www.icpsr.umich.edu/icpsrweb/ICPSR/access/deposit/ for information,Disciplinary,
